Candidate,Party,Date,GEO_code,Year,Votes_perc,hits.candidate,hits.party,indicador
'Fernández','Todos',2019-04-30 2019-10-27,AR,2019,0.471587022386763,1837,610,0.75071516142215
'Macri','Juntos',2019-04-30 2019-10-27,AR,2019,0.41374992095477,2516,68,0.973684210526316
'Lavagna','Consenso Federal',2019-04-30 2019-10-27,AR,2019,0.0613871859968961,951,105,0.900568181818182
'Del Caño','Frente de Izquierda',2019-04-30 2019-10-27,AR,2019,0.0215586628751755,1238,810,0.6044921875
'Gómez Centurión','NOS',2019-04-30 2019-10-27,AR,2019,0.01704496159658,552,1322,0.294557097118463
'Espert','UNITE',2019-04-30 2019-10-27,AR,2019,0.0146722461898152,894,142,0.862934362934363
'Macri','Cambiemos',2015-04-28 2015-10-25,AR,2015,0.341528,2341,181,0.928231562252181
'Scioli','FpV',2015-04-28 2015-10-25,AR,2015,0.370807,2569,146,0.94622467771639
'Massa','Unidos',2015-04-28 2015-10-25,AR,2015,0.213903,1674,251,0.86961038961039
'Del Caño','Frente de Izquierda',2015-04-28 2015-10-25,AR,2015,0.032263,1596,1017,0.610792192881745
'Stolbizer','Progresistas',2015-04-28 2015-10-25,AR,2015,0.025117,1394,189,0.880606443461782
'Rodriguez Saa','Compromiso Federal',2015-04-28 2015-10-25,AR,2015,0.016382,1349,447,0.751113585746102
'Fernández','Frente para la Victoria',2011-04-26 2011-10-23,AR,2011,0.541109,1664,3125,0.347462935894759
'Binner','FAP',2011-04-26 2011-10-23,AR,2011,0.168054,964,114,0.894248608534323
'Alfonsín','Alianza',2011-04-26 2011-10-23,AR,2011,0.111414,684,1280,0.34826883910387
'Rodriguez Saa','Compromiso Federal',2011-04-26 2011-10-23,AR,2011,0.079597,1063,321,0.768063583815029
'Duhalde','Frente Popular',2011-04-26 2011-10-23,AR,2011,0.058641,1764,312,0.84971098265896
'Altamira','Frente de Izquierda',2011-04-26 2011-10-23,AR,2011,0.022956,1443,895,0.617194183062447
'Carrió','Coalición Cívica',2011-04-26 2011-10-23,AR,2011,0.018228,1376,992,0.581081081081081
'Fernández','FpV',2007-05-01 2007-10-28,AR,2007,0.45283,1763,1156,0.603973963686194
'Carrió','Coalición Cívica',2007-05-01 2007-10-28,AR,2007,0.230471,1490,1092,0.57707203718048
'Lavagna','UNA',2007-05-01 2007-10-28,AR,2007,0.169059,2124,1321,0.616545718432511
'Rodriguez Saa','FREJULI',2007-05-01 2007-10-28,AR,2007,0.076368,1331,1053,0.558305369127517
'Solanas','PSA',2007-05-01 2007-10-28,AR,2007,0.015782,1126,688,0.620727673649394
'Sobisch','MPU',2007-05-01 2007-10-28,AR,2007,0.014047,1506,1572,0.489278752436647
'López Murphy','Recrear',2007-05-01 2007-10-28,AR,2007,0.014309,1705,1358,0.556643813254979
'Ripoll','Movimiento Socialista',2007-05-01 2007-10-28,AR,2007,0.007459,1006,1121,0.472966619652092
'Pitrola','Partido Obrero',2007-05-01 2007-10-28,AR,2007,0.006107,905,787,0.534869976359338
'Montes','Frente de Izquierda',2007-05-01 2007-10-28,AR,2007,0.004433,1267,1214,0.51068117694478
'Ammann','Frente Amplio',2007-05-01 2007-10-28,AR,2007,0.003652,842,682,0.55249343832021
'Castells','Movimiento de Jubilados',2007-05-01 2007-10-28,AR,2007,0.002558,1706,0,1
'Breide','PPR',2007-05-01 2007-10-28,AR,2007,0.002372,1085,944,0.534746180384426
'Mussa','Lealtad Popular',2007-05-01 2007-10-28,AR,2007,0.000553,1598,0,1
'Arce','MAS',2020-04-21 2020-10-18,BO,2020,0.551053048840184,1477,1653,0.471884984025559
'Mesa','FRI',2020-04-21 2020-10-18,BO,2020,0.288340990428807,198,42,0.825
'Camacho','Creemos',2020-04-21 2020-10-18,BO,2020,0.139983189405266,1584,1656,0.488888888888889
'Chung','FpV',2020-04-21 2020-10-18,BO,2020,0.0154654549097279,1133,1237,0.478059071729958
'Mamani','PAN',2020-04-21 2020-10-18,BO,2020,0.00515731641601497,1408,1259,0.527934008248969
'Morales','MAS',2019-04-23 2019-10-20,BO,2019,0.470758207795758,1423,1554,0.477997984548203
'Mesa','FRI',2019-04-23 2019-10-20,BO,2019,0.365109175776936,269,98,0.732970027247957
'Chung','PDC',2019-04-23 2019-10-20,BO,2019,0.0878315243681194,939,641,0.594303797468354
'Ortiz','MDS',2019-04-24 2019-10-21,BO,2019,0.042412830534579,1172,761,0.606311433005691
'Patzi','Tercer sistema',2019-04-25 2019-10-22,BO,2019,0.0125172887240127,969,1355,0.416953528399312
'Lema','MNR',2019-04-26 2019-10-23,BO,2019,0.00689740456925762,1637,1967,0.454217536071032
'Nina','Acción Nacional',2019-04-27 2019-10-24,BO,2019,0.00648878051625771,1161,0,1
'Cárdenas','UCS',2019-04-28 2019-10-25,BO,2019,0.00411931496491096,762,1441,0.345891965501589
'Rodriguez','FPV',2019-04-23 2019-10-20,BO,2019,0.00386547275016859,1333,1230,0.520093640265314
'Morales','MAS',2014-04-15 2014-10-12,BO,2014,0.613622,571,808,0.414068165337201
'Doria','UN',2014-04-15 2014-10-12,BO,2014,0.242349,721,878,0.450906816760475
'Quiroga','PDC',2014-04-15 2014-10-12,BO,2014,0.090364,588,744,0.441441441441441
'Granado','MSM',2014-04-15 2014-10-12,BO,2014,0.027127,900,845,0.515759312320917
'Vargas','PVB',2014-04-15 2014-10-12,BO,2014,0.026538,465,507,0.478395061728395
'morales','MAS',2009-06-09 2009-12-06,BO,2009,0.642231,1075,1321,0.448664440734558
'Reyes','NFR',2009-06-09 2009-12-06,BO,2009,0.264641,1295,1150,0.529652351738241
'Doria','UN',2009-06-09 2009-12-06,BO,2009,0.05651,1032,1022,0.502434274586173
'Joaquino','AS',2009-06-09 2009-12-06,BO,2009,0.023136,1063,1220,0.465615418309242
'Flores','MUSPA',2009-06-09 2009-12-06,BO,2009,0.005075,627,992,0.387276096355775
'Loayza','GENTE',2009-06-09 2009-12-06,BO,2009,0.00341,1205,1388,0.46471268800617
'Veliz','PULSO',2009-06-09 2009-12-06,BO,2009,0.002836,1254,915,0.578146611341632
'Choquehuanca','BSD',2009-06-09 2009-12-06,BO,2009,0.002161,1261,1558,0.447321745299752
'Morales','MAS',2005-04-21 2005-10-18,BO,2005,0.537398,1135,1019,0.526926648096565
'Quiroga','Podemos',2005-04-21 2005-10-18,BO,2005,0.285944,596,879,0.40406779661017
'Doria','UN',2005-04-21 2005-10-18,BO,2005,0.077977,566,871,0.393876130828114
'Nagatani','MNR',2005-04-21 2005-10-18,BO,2005,0.064674,750,945,0.442477876106195
'Quispe','MIP',2005-04-21 2005-10-18,BO,2005,0.021556,884,865,0.505431675242996
'Angulo','NFR',2005-04-21 2005-10-18,BO,2005,0.006844,461,506,0.476732161323682
'Rodriguez','Frepab',2005-04-21 2005-10-18,BO,2005,0.00304,1250,0,1
'García','USTB',2005-04-21 2005-10-18,BO,2005,0.002568,1407,0,1
'Da Silva','PT',2022-04-05 2022-10-02,BR,2022,0.484307198598687,164,786,0.172631578947368
'Bolsonaro','PL',2022-04-05 2022-10-02,BR,2022,0.463252884596415,997,7,0.993027888446215
'Tebet','MDB',2022-04-05 2022-10-02,BR,2022,0.0543039069674159,386,113,0.773547094188377
'Gomes','PDT',2022-04-05 2022-10-02,BR,2022,0.0363763204327085,1001,74,0.931162790697674
'Thronicke','UB',2022-04-05 2022-10-02,BR,2022,0.00598304856502511,496,73,0.87170474516696
'D'Avila','NOVO',2022-04-05 2022-10-02,BR,2022,0.00545940835256275,100,636,0.135869565217391
'Gamonal','PTB',2022-04-05 2022-10-02,BR,2022,0.000785294042231801,192,979,0.163962425277541
'Pericles','UP',2022-04-05 2022-10-02,BR,2022,0.000512054516684602,377,568,0.398941798941799
'Alves','PCB',2022-04-05 2022-10-02,BR,2022,0.000432276819538366,705,320,0.68780487804878
