Candidate,Party,Date,GEO_code,Year,hits.candidate,hits.party,indicador
'Fernández','Todos',2019-04-30 2019-10-27,AR,2019,1731,542,0.7615486141663
'Macri','Juntos',2019-04-30 2019-10-27,AR,2019,2549,68,0.974016048910967
'Lavagna','Consenso Federal',2019-04-30 2019-10-27,AR,2019,913,91,0.909362549800797
'Del Caño','Frente de Izquierda',2019-04-30 2019-10-27,AR,2019,1261,791,0.614522417153996
'Gómez Centurión','NOS',2019-04-30 2019-10-27,AR,2019,493,1210,0.289489136817381
'Espert','UNITE',2019-04-30 2019-10-27,AR,2019,945,163,0.852888086642599
'Macri','Cambiemos',2015-04-28 2015-10-25,AR,2015,2332,171,0.931681981622054
'Scioli','FpV',2015-04-28 2015-10-25,AR,2015,2586,143,0.947599853426163
'Massa','Unidos',2015-04-28 2015-10-25,AR,2015,1684,224,0.882599580712788
'Del Caño','Frente de Izquierda',2015-04-28 2015-10-25,AR,2015,1458,1064,0.578112609040444
'Stolbizer','Progresistas',2015-04-28 2015-10-25,AR,2015,1463,180,0.890444309190505
'Rodriguez Saa','Compromiso Federal',2015-04-28 2015-10-25,AR,2015,1256,305,0.804612427930814
'Fernández','Frente para la Victoria',2011-04-26 2011-10-23,AR,2011,822,1993,0.292007104795737
'Binner','FAP',2011-04-26 2011-10-23,AR,2011,1008,81,0.925619834710744
'Alfonsín','Alianza',2011-04-26 2011-10-23,AR,2011,1161,779,0.598453608247423
'Rodriguez Saa','Compromiso Federal',2011-04-26 2011-10-23,AR,2011,969,343,0.738567073170732
'Duhalde','Frente Popular',2011-04-26 2011-10-23,AR,2011,1816,293,0.861071597913703
'Altamira','Frente de Izquierda',2011-04-26 2011-10-23,AR,2011,1601,1006,0.614115841963943
'Carrió','Coalición Cívica',2011-04-26 2011-10-23,AR,2011,1135,1127,0.501768346595933
'Fernández','FpV',2007-05-01 2007-10-28,AR,2007,805,1098,0.423016290068313
'Carrió','Coalición Cívica',2007-05-01 2007-10-28,AR,2007,1676,929,0.64337811900192
'Lavagna','UNA',2007-05-01 2007-10-28,AR,2007,1068,659,0.618413433700058
'Rodriguez Saa','FREJULI',2007-05-01 2007-10-28,AR,2007,1933,1480,0.566363902724875
'Solanas','PSA',2007-05-01 2007-10-28,AR,2007,1124,910,0.552605703048181
'Sobisch','MPU',2007-05-01 2007-10-28,AR,2007,1471,1175,0.555933484504913
'López Murphy','Recrear',2007-05-01 2007-10-28,AR,2007,879,899,0.49437570303712
'Ripoll','Movimiento Socialista',2007-05-01 2007-10-28,AR,2007,1008,867,0.5376
'Pitrola','Partido Obrero',2007-05-01 2007-10-28,AR,2007,809,1342,0.376104137610414
'Montes','Frente de Izquierda',2007-05-01 2007-10-28,AR,2007,1838,1252,0.594822006472492
'Ammann','Frente Amplio',2007-05-01 2007-10-28,AR,2007,1444,1347,0.517377284127553
'Castells','Movimiento de Jubilados',2007-05-01 2007-10-28,AR,2007,1203,0,1
'Breide','PPR',2007-05-01 2007-10-28,AR,2007,1388,1219,0.53241273494438
'Mussa','Lealtad Popular',2007-05-01 2007-10-28,AR,2007,1952,0,1
'Arce','MAS',2020-04-21 2020-10-18,BO,2020,827,1148,0.41873417721519
'Mesa','FRI',2020-04-21 2020-10-18,BO,2020,193,54,0.781376518218624
'Camacho','Creemos',2020-04-21 2020-10-18,BO,2020,795,1026,0.436573311367381
'Chung','FpV',2020-04-21 2020-10-18,BO,2020,1165,1062,0.52312528064661
'Mamani','PAN',2020-04-21 2020-10-18,BO,2020,1096,1274,0.462447257383966
'Morales','MAS',2019-04-23 2019-10-20,BO,2019,1856,2436,0.432432432432432
'Mesa','FRI',2019-04-23 2019-10-20,BO,2019,263,93,0.73876404494382
'Chung','PDC',2019-04-23 2019-10-20,BO,2019,1178,1540,0.433406916850625
'Ortiz','MDS',2019-04-24 2019-10-21,BO,2019,836,968,0.463414634146342
'Patzi','Tercer sistema',2019-04-25 2019-10-22,BO,2019,1389,1484,0.483466759484859
'Lema','MNR',2019-04-26 2019-10-23,BO,2019,1128,1283,0.467855661551224
'Nina','Acción Nacional',2019-04-27 2019-10-24,BO,2019,1120,0,1
'Cárdenas','UCS',2019-04-28 2019-10-25,BO,2019,1112,1154,0.490732568402471
'Rodriguez','FPV',2019-04-23 2019-10-20,BO,2019,769,1273,0.376591576885406
'Morales','MAS',2014-04-15 2014-10-12,BO,2014,991,849,0.538586956521739
'Doria','UN',2014-04-15 2014-10-12,BO,2014,711,1469,0.326146788990826
'Quiroga','PDC',2014-04-15 2014-10-12,BO,2014,911,687,0.57008760951189
'Granado','MSM',2014-04-15 2014-10-12,BO,2014,552,565,0.494180841539839
'Vargas','PVB',2014-04-15 2014-10-12,BO,2014,615,548,0.528804815133276
'morales','MAS',2009-06-09 2009-12-06,BO,2009,652,769,0.458831808585503
'Reyes','NFR',2009-06-09 2009-12-06,BO,2009,722,1333,0.351338199513382
'Doria','UN',2009-06-09 2009-12-06,BO,2009,1002,1317,0.432082794307891
'Joaquino','AS',2009-06-09 2009-12-06,BO,2009,1221,1099,0.526293103448276
'Flores','MUSPA',2009-06-09 2009-12-06,BO,2009,1650,1240,0.570934256055363
'Loayza','GENTE',2009-06-09 2009-12-06,BO,2009,1457,991,0.595179738562092
'Veliz','PULSO',2009-06-09 2009-12-06,BO,2009,1016,1217,0.45499328257949
'Choquehuanca','BSD',2009-06-09 2009-12-06,BO,2009,1275,1488,0.461454940282302
'Morales','MAS',2005-04-21 2005-10-18,BO,2005,1073,763,0.58442265795207
'Quiroga','Podemos',2005-04-21 2005-10-18,BO,2005,1027,516,0.665586519766688
'Doria','UN',2005-04-21 2005-10-18,BO,2005,909,890,0.505280711506392
'Nagatani','MNR',2005-04-21 2005-10-18,BO,2005,838,621,0.574366004112406
'Quispe','MIP',2005-04-21 2005-10-18,BO,2005,1455,1878,0.436543654365437
'Angulo','NFR',2005-04-21 2005-10-18,BO,2005,900,921,0.494233937397035
'Rodriguez','Frepab',2005-04-21 2005-10-18,BO,2005,913,0,1
'García','USTB',2005-04-21 2005-10-18,BO,2005,959,0,1
'Da Silva','PT',2022-04-05 2022-10-02,BR,2022,159,776,0.170053475935829
'Bolsonaro','PL',2022-04-05 2022-10-02,BR,2022,976,6,0.993890020366599
'Tebet','MDB',2022-04-05 2022-10-02,BR,2022,386,116,0.768924302788845
'Gomes','PDT',2022-04-05 2022-10-02,BR,2022,950,63,0.937808489634748
'Thronicke','UB',2022-04-05 2022-10-02,BR,2022,498,81,0.860103626943005
'D'Avila','NOVO',2022-04-05 2022-10-02,BR,2022,95,646,0.128205128205128
'Gamonal','PTB',2022-04-05 2022-10-02,BR,2022,100,1022,0.089126559714795
'Pericles','UP',2022-04-05 2022-10-02,BR,2022,448,682,0.39646017699115
'Alves','PCB',2022-04-05 2022-10-02,BR,2022,729,357,0.671270718232044
'Tremembé','PSTU',2022-04-05 2022-10-02,BR,2022,362,1068,0.253146853146853
'Barbosa','DC',2022-04-05 2022-10-02,BR,2022,1190,580,0.672316384180791
'Bolsonaro','PSL',2018-04-10 2018-10-07,BR,2018,1260,42,0.967741935483871
'Haddad','PT',2018-04-10 2018-10-07,BR,2018,967,709,0.576968973747017
'Gomes','PDT',2018-04-10 2018-10-07,BR,2018,1255,44,0.96612779060816
'Alckmin','PSDB',2018-04-10 2018-10-07,BR,2018,2041,734,0.735495495495496
'Amoedo','Novo',2018-04-10 2018-10-07,BR,2018,362,542,0.400442477876106
'Daciolo','Patri',2018-04-10 2018-10-07,BR,2018,878,63,0.933049946865037
'Meirelles','MDB',2018-04-10 2018-10-07,BR,2018,1263,417,0.751785714285714
'Silva','Rede',2018-04-10 2018-10-07,BR,2018,1132,306,0.787204450625869
'Fernandes','Pode',2018-04-10 2018-10-07,BR,2018,45,550,0.0756302521008403
'Castro','PSOL',2018-04-10 2018-10-07,BR,2018,78,581,0.118361153262519
'Salgado','PSTU',2018-04-10 2018-10-07,BR,2018,404,1169,0.256834075015893
'Eymael','DC',2018-04-10 2018-10-07,BR,2018,1283,537,0.704945054945055
'Goulart','PPL',2018-04-10 2018-10-07,BR,2018,1350,1021,0.569380008435259
'Rousseff','PT',2014-04-08 2014-10-05,BR,2014,851,668,0.560236998025017
'Neves','PSDB',2014-04-08 2014-10-05,BR,2014,508,297,0.631055900621118
'Silva','PSB',2014-04-08 2014-10-05,BR,2014,844,123,0.872802481902792
'Genro','PSOL',2014-04-08 2014-10-05,BR,2014,627,254,0.711691259931896
'Pereira','PSC',2014-04-08 2014-10-05,BR,2014,825,549,0.600436681222707
'Jorge','PV',2014-04-08 2014-10-05,BR,2014,558,123,0.819383259911894
'Fidelix','PRTB',2014-04-08 2014-10-05,BR,2014,479,165,0.743788819875776
'Ferreira','PSTU',2014-04-08 2014-10-05,BR,2014,1053,685,0.605868814729574
'Eymael','PSDC',2014-04-08 2014-10-05,BR,2014,941,619,0.603205128205128
'Iasi','PCB',2014-04-08 2014-10-05,BR,2014,1069,1109,0.490817263544536
'Costa','PCO',2014-04-08 2014-10-05,BR,2014,734,178,0.804824561403509
'Rousseff','PT',2010-04-06 2010-10-03,BR,2010,1837,864,0.680118474639023
'Serra','PSDB',2010-04-06 2010-10-03,BR,2010,933,541,0.632971506105834
'Silva','PV',2010-04-06 2010-10-03,BR,2010,554,163,0.772663877266388
'Arruda','PSOL',2010-04-06 2010-10-03,BR,2010,176,455,0.27892234548336
'Eymael','PSDC',2010-04-06 2010-10-03,BR,2010,1854,1001,0.64938704028021
'Almeida','PSTU',2010-04-06 2010-10-03,BR,2010,1182,1247,0.486620008233841
'Fidelix','PRTB',2010-04-06 2010-10-03,BR,2010,670,937,0.416925948973242
'Pinheiro','PCB',2010-04-06 2010-10-03,BR,2010,1476,1399,0.513391304347826
'Costa','PCO',2010-04-06 2010-10-03,BR,2010,1343,624,0.682765632943569
'Da Silva','PT',2006-04-04 2006-10-01,BR,2006,281,688,0.289989680082559
'Alckmin','PSDB',2006-04-04 2006-10-01,BR,2006,439,840,0.343236903831118
'Helena','PSOL',2006-04-04 2006-10-01,BR,2006,697,419,0.624551971326165
'Baurque','PDT',2006-04-04 2006-10-01,BR,2006,1033,1149,0.473418881759853
'Rangel','PRP',2006-04-04 2006-10-01,BR,2006,959,1096,0.466666666666667
'Eymael','PSDC',2006-04-04 2006-10-01,BR,2006,1363,1406,0.49223546406645
'Bivar','PSL',2006-04-04 2006-10-01,BR,2006,1229,1351,0.476356589147287
'Kast','Frente Social Cristiano',2021-05-25 2021-11-21,CL,2021,576,165,0.777327935222672
'Boric','AD',2021-05-25 2021-11-21,CL,2021,561,90,0.861751152073733
'Parisi','PDG',2021-05-25 2021-11-21,CL,2021,406,203,0.666666666666667
'Provoste','PDC',2021-05-25 2021-11-21,CL,2021,839,638,0.568043331076506
'Enriquez Ominami','PRO',2021-05-25 2021-11-21,CL,2021,1130,1277,0.469464063149148
'Artés','UPA',2021-05-25 2021-11-21,CL,2021,1034,792,0.566265060240964
'Piñera','Chile Vamos',2017-05-23 2017-11-19,CL,2017,1300,102,0.927246790299572
'Guillier','Nueva Mayoría',2017-05-23 2017-11-19,CL,2017,912,691,0.568933250155958
'Sanchez','Frente Amplio',2017-05-23 2017-11-19,CL,2017,310,665,0.317948717948718
'Goic','PDC',2017-05-23 2017-11-19,CL,2017,901,872,0.508178228990412
'Enriquez Ominami','PRO',2017-05-23 2017-11-19,CL,2017,986,955,0.507985574446162
'Artés','UPA',2017-05-23 2017-11-19,CL,2017,1116,1283,0.465193830762818
'Navarro','Pais',2017-05-23 2017-11-19,CL,2017,1383,1734,0.443695861405197
'Bachelet','Nueva Mayoría',2013-05-21 2013-11-17,CL,2013,1901,1022,0.650359219979473
'Matthei','Alianza',2013-05-21 2013-11-17,CL,2013,1918,1531,0.556103218324152
'Enriquez Ominami','PRO',2013-05-21 2013-11-17,CL,2013,1303,1149,0.531402936378467
'Claude','Todos a la Moneda',2013-05-21 2013-11-17,CL,2013,2302,1333,0.633287482806052
'Sfeir','PEV',2013-05-21 2013-11-17,CL,2013,1242,1193,0.510061601642711
'Miranda','Igual',2013-05-21 2013-11-17,CL,2013,1548,1091,0.586585827965138
'Israel','PRI',2013-05-21 2013-11-17,CL,2013,1013,1157,0.466820276497696
'Piñera','Alianza',2009-06-16 2009-12-13,CL,2009,1510,293,0.837493067110372
'Frei Ruiz','Concertación',2009-06-16 2009-12-13,CL,2009,1589,1044,0.603494113178883
'Arrate','Juntos Podemos',2009-06-16 2009-12-13,CL,2009,1680,1478,0.531982267257758
'Bachelet','Concertación',2005-06-14 2005-12-11,CL,2005,621,799,0.437323943661972
'Piñera','Alianza',2005-06-14 2005-12-11,CL,2005,1390,936,0.597592433361995
'Lavín','UDI',2005-06-14 2005-12-11,CL,2005,1032,1221,0.458055925432756
'Hirsch','Juntos Podemos',2005-06-14 2005-12-11,CL,2005,887,1091,0.448432760364004
'Petro','Pacto Histórico',2021-11-30 2022-05-29,CO,2022,1100,82,0.930626057529611
'Hernández','LIGA',2021-11-30 2022-05-29,CO,2022,757,525,0.590483619344774
'Gutiérrez','Equipo por Colombia',2021-11-30 2022-05-29,CO,2022,802,484,0.623639191290824
'Fajardo','Centro Esperanza',2021-11-30 2022-05-29,CO,2022,256,280,0.477611940298507
'Rodriguez','Colombia Justa Libres',2021-11-30 2022-05-29,CO,2022,2358,1078,0.686263096623981
'Martínez','Salvación Nacioanl',2021-11-30 2022-05-29,CO,2022,1455,0,1
'Betancorut','Partido Verde',2021-11-30 2022-05-29,CO,2022,0,647,0
'Pérez','Piensa en Grande',2021-11-30 2022-05-29,CO,2022,1225,1051,0.538224956063269
'Duque','Gran Alianza',2017-11-28 2018-05-27,CO,2018,1287,116,0.917320028510335
'Ptro','Coalición por la Paz',2017-11-28 2018-05-27,CO,2018,1369,0,1
'Fajardo','Compromiso Ciudadano',2017-11-28 2018-05-27,CO,2018,713,121,0.854916067146283
'Vargas','Cambio Radical',2017-11-28 2018-05-27,CO,2018,656,572,0.534201954397394
'De la Calle','Partido Liberal',2017-11-28 2018-05-27,CO,2018,297,756,0.282051282051282
'Trujillo','Todos somos Colombia',2017-11-28 2018-05-27,CO,2018,1455,1350,0.518716577540107
'Morales','Somos Región',2017-11-28 2018-05-27,CO,2018,2620,0,1
'Santos','Partido de la U',2013-11-26 2014-05-25,CO,2014,1077,848,0.55948051948052
'Zuluaga','Centro Democrático',2013-11-26 2014-05-25,CO,2014,786,386,0.670648464163823
'Ramírez','Partido Conservador',2013-11-26 2014-05-25,CO,2014,236,1206,0.163661581137309
'López','Polo democrático',2013-11-26 2014-05-25,CO,2014,1528,1345,0.531848242255482
'Peñalosa','Alianza Verde',2013-11-26 2014-05-25,CO,2014,784,746,0.512418300653595
'Santos','Partido de la U',2009-12-01 2010-05-30,CO,2010,899,797,0.530070754716981
'Mockus','Partido Verde',2009-12-01 2010-05-30,CO,2010,806,877,0.478906714200832
'Vargas Lleras','Cambio Radical',2009-12-01 2010-05-30,CO,2010,710,852,0.454545454545455
'Petro','Polo democrático',2009-12-01 2010-05-30,CO,2010,1224,959,0.560696289509849
'Sanín','Partido Conservador',2009-12-01 2010-05-30,CO,2010,601,1172,0.338973491257755
'Pardo','Partido Liberal',2009-12-01 2010-05-30,CO,2010,954,1603,0.373093468908878
'Calderón','Apertura Liberal',2009-12-01 2010-05-30,CO,2010,1205,762,0.612608032536858
'Devia','MVC',2009-12-01 2010-05-30,CO,2010,835,798,0.511328842620943
'Araujo','ASA',2009-12-01 2010-05-30,CO,2010,832,1077,0.435830277632268
'Uribe','Primero Colombia',2005-11-29 2006-05-28,CO,2006,1826,1204,0.602640264026403
'Gaviria','Polo democrático',2005-11-29 2006-05-28,CO,2006,976,1019,0.48922305764411
'Uribe','Partido Liberal',2005-11-29 2006-05-28,CO,2006,1826,830,0.6875
'Mockus','ASI',2005-11-29 2006-05-28,CO,2006,1204,871,0.580240963855422
'Parejo','RDN',2005-11-29 2006-05-28,CO,2006,678,703,0.490948587979725
'Leyva','MNR',2005-11-29 2006-05-28,CO,2006,835,1243,0.401828681424447
'Rincón','Movimiento Político Comunal',2005-11-29 2006-05-28,CO,2006,1075,0,1
'Figueres','PLN',2021-08-10 2022-02-06,CR,2022,1044,1050,0.498567335243553
'Chaves','PSD',2021-08-10 2022-02-06,CR,2022,696,637,0.522130532633158
'Alvarado','PNR',2021-08-10 2022-02-06,CR,2022,1730,1350,0.561688311688312
'Feinzaig','PLP+',2021-08-10 2022-02-06,CR,2022,900,802,0.528789659224442
'Pacheco Arce','PUSC',2021-08-10 2022-02-06,CR,2022,0,1167,0
'Villalta','FA',2021-08-10 2022-02-06,CR,2022,1487,1697,0.467022613065327
'Araya','CRJ',2021-08-10 2022-02-06,CR,2022,1340,1591,0.457181849198226
'Moya','PFN',2021-08-10 2022-02-06,CR,2022,1249,1295,0.490959119496855
'Diaz','UP',2021-08-10 2022-02-06,CR,2022,1153,1095,0.512900355871886
'Ramos','PAC',2021-08-10 2022-02-06,CR,2022,1100,1034,0.515463917525773
'López','PASE',2021-08-10 2022-02-06,CR,2022,1544,1195,0.563709382986492
'Hernández','PRSC',2021-08-10 2022-02-06,CR,2022,1504,942,0.614881439084219
'Mena','PNG',2021-08-10 2022-02-06,CR,2022,985,1497,0.396857373086221
'Cruickshank','PREN',2021-08-10 2022-02-06,CR,2022,1328,0,1
'Quesada','JSC',2021-08-10 2022-02-06,CR,2022,1832,0,1
'Malavassi','UL',2021-08-10 2022-02-06,CR,2022,1254,1080,0.537275064267352
'Morales','PUCD',2021-08-10 2022-02-06,CR,2022,1720,0,1
'Rivera','ADC',2021-08-10 2022-02-06,CR,2022,1387,1218,0.532437619961612
'Campos','PEN',2021-08-10 2022-02-06,CR,2022,1261,774,0.61965601965602
'Piza','PNP',2021-08-10 2022-02-06,CR,2022,1325,1283,0.508052147239264
'Muñoz','PIN',2021-08-10 2022-02-06,CR,2022,858,1016,0.457844183564568
'Chavarría','PMSDC',2021-08-10 2022-02-06,CR,2022,1939,0,1
'Vega','PT',2021-08-10 2022-02-06,CR,2022,1623,1456,0.527119194543683
'Chinchilla','PU',2021-08-10 2022-02-06,CR,2022,1701,1673,0.504149377593361
'Cordero','ML',2021-08-10 2022-02-06,CR,2022,1106,605,0.646405610753945
'Alvarado Quesada','PAC',2017-08-08 2018-02-04,CR,2018,768,989,0.437108708025043
'Alvarado Muñóz','PREN',2017-08-08 2018-02-04,CR,2018,,,
'Alvarez','PLN',2017-08-08 2018-02-04,CR,2018,1244,888,0.583489681050657
'Piza','PUSC',2017-08-08 2018-02-04,CR,2018,1018,954,0.516227180527383
'Castro','PIN',2017-08-08 2018-02-04,CR,2018,1289,1307,0.49653312788906
'Hernández','Republicano',2017-08-08 2018-02-04,CR,2018,1167,1636,0.416339636104174
'Guevara','ML',2017-08-08 2018-02-04,CR,2018,1316,945,0.582043343653251
'Araya','FA',2017-08-08 2018-02-04,CR,2018,1207,1437,0.456505295007564
'Mena','PNG',2017-08-08 2018-02-04,CR,2018,1341,1693,0.441990771259064
'Redondo','ADC',2017-08-08 2018-02-04,CR,2018,1240,1272,0.493630573248408
'Campos','PRC',2017-08-08 2018-02-04,CR,2018,1263,970,0.565606806986117
'López','PASE',2017-08-08 2018-02-04,CR,2018,811,1224,0.398525798525799
'Vega','PT',2017-08-08 2018-02-04,CR,2018,1391,1312,0.514613392526822
'Solís','PAC',2013-08-06 2014-02-02,CR,2014,1239,2021,0.380061349693252
'Araya','PLN',2013-08-06 2014-02-02,CR,2014,1336,1288,0.509146341463415
'Villalta','FA',2013-08-06 2014-02-02,CR,2014,2235,742,0.750755794423917
'Guevara','ML',2013-08-06 2014-02-02,CR,2014,1258,1021,0.55199648968846
'Piza','PUSC',2013-08-06 2014-02-02,CR,2014,1411,929,0.602991452991453
'Corrales','PPN',2013-08-06 2014-02-02,CR,2014,539,895,0.375871687587169
'Avendaño','PREN',2013-08-06 2014-02-02,CR,2014,1527,0,1
'Orozco','PRC',2013-08-06 2014-02-02,CR,2014,1123,1329,0.457993474714519
'López','PASE',2013-08-06 2014-02-02,CR,2014,1238,996,0.554162936436885
'Mena','PNG',2013-08-06 2014-02-02,CR,2014,1216,849,0.588861985472155
'Monestel','PT',2013-08-06 2014-02-02,CR,2014,1013,893,0.531479538300105
'Muñoz','PIN',2013-08-06 2014-02-02,CR,2014,1656,1631,0.503802859750532
'Echandi','PAN',2013-08-06 2014-02-02,CR,2014,976,998,0.494427558257346
'Chinchilla','LN',2009-08-11 2010-02-07,CR,2010,801,1031,0.437227074235808
'Solís','AC',2009-08-11 2010-02-07,CR,2010,944,889,0.515002727768685
'Guevara','ML',2009-08-11 2010-02-07,CR,2010,1352,1438,0.484587813620072
'Fishman','PUSC',2009-08-11 2010-02-07,CR,2010,989,1278,0.436259373621526
'López','PAE',2009-08-11 2010-02-07,CR,2010,707,606,0.538461538461538
'González','RC',2009-08-11 2010-02-07,CR,2010,1210,1319,0.47844998022934
'Trejos','FA',2009-08-11 2010-02-07,CR,2010,623,805,0.436274509803922
'Araya','AP',2009-08-11 2010-02-07,CR,2010,1050,839,0.555849655902594
'Muñoz','IN',2009-08-11 2010-02-07,CR,2010,607,652,0.482128673550437
'Arias','PLN',2005-08-09 2006-02-05,CR,2006,864,972,0.470588235294118
