Candidate,Party,Date,GEO_code,Year,Votes_perc,hits.candidate,hits.party,indicador
'Fernández','Todos',2019-04-30 2019-10-27,AR,2019,0.471587022386763,1664,564,0.746858168761221
'Macri','Juntos',2019-04-30 2019-10-27,AR,2019,0.41374992095477,2546,68,0.97398622800306
'Lavagna','Consenso Federal',2019-04-30 2019-10-27,AR,2019,0.0613871859968961,919,86,0.914427860696517
'Del Caño','Frente de Izquierda',2019-04-30 2019-10-27,AR,2019,0.0215586628751755,1241,764,0.618952618453865
'Gómez Centurión','NOS',2019-04-30 2019-10-27,AR,2019,0.01704496159658,372,1321,0.219728292971057
'Espert','UNITE',2019-04-30 2019-10-27,AR,2019,0.0146722461898152,864,121,0.877157360406091
'Macri','Cambiemos',2015-04-28 2015-10-25,AR,2015,0.341528,2348,157,0.937325349301397
'Scioli','FpV',2015-04-28 2015-10-25,AR,2015,0.370807,2605,152,0.944867609720711
'Massa','Unidos',2015-04-28 2015-10-25,AR,2015,0.213903,1711,251,0.872069317023446
'Del Caño','Frente de Izquierda',2015-04-28 2015-10-25,AR,2015,0.032263,1681,1267,0.570217096336499
'Stolbizer','Progresistas',2015-04-28 2015-10-25,AR,2015,0.025117,1454,161,0.90030959752322
'Rodriguez Saa','Compromiso Federal',2015-04-28 2015-10-25,AR,2015,0.016382,1373,444,0.755641166758393
'Fernández','Frente para la Victoria',2011-04-26 2011-10-23,AR,2011,0.541109,1026,2383,0.300968025814022
'Binner','FAP',2011-04-26 2011-10-23,AR,2011,0.168054,1014,95,0.914337240757439
'Alfonsín','Alianza',2011-04-26 2011-10-23,AR,2011,0.111414,1322,1618,0.449659863945578
'Rodriguez Saa','Compromiso Federal',2011-04-26 2011-10-23,AR,2011,0.079597,1066,351,0.752293577981651
'Duhalde','Frente Popular',2011-04-26 2011-10-23,AR,2011,0.058641,1727,302,0.851158206012814
'Altamira','Frente de Izquierda',2011-04-26 2011-10-23,AR,2011,0.022956,1037,902,0.534811758638473
'Carrió','Coalición Cívica',2011-04-26 2011-10-23,AR,2011,0.018228,608,948,0.390745501285347
'Fernández','FpV',2007-05-01 2007-10-28,AR,2007,0.45283,1330,1198,0.526107594936709
