Country,Year,Index_ponderado.sum
ARGENTINA,2007,0
ARGENTINA,2011,0
ARGENTINA,2015,0
ARGENTINA,2019,0
BOLIVIA,2005,0
BOLIVIA,2009,0
BOLIVIA,2014,0
BOLIVIA,2019,0
BOLIVIA,2020,0
BRASIL,2006,0
BRASIL,2010,0
BRASIL,2014,0
BRASIL,2018,0
BRASIL,2022,0
CHILE,2005,0
CHILE,2009,0
CHILE,2013,0
CHILE,2017,0
CHILE,2021,0
COLOMBIA,2006,0
COLOMBIA,2010,0
COLOMBIA,2014,0
COLOMBIA,2018,0
COLOMBIA,2022,0
COSTA RICA,2006,0
COSTA RICA,2010,0
COSTA RICA,2014,0
COSTA RICA,2018,0
COSTA RICA,2022,0
ECUADOR,2006,0
ECUADOR,2009,0
ECUADOR,2013,0
ECUADOR,2017,0
ECUADOR,2021,0
EL SALVADOR,2004,0
EL SALVADOR,2009,0
EL SALVADOR,2014,0
EL SALVADOR,2019,0
GUATEMALA,2007,0
GUATEMALA,2011,0
GUATEMALA,2015,0
GUATEMALA,2019,0
HONDURAS,2005,0
HONDURAS,2009,0
HONDURAS,2013,0
HONDURAS,2017,0
HONDURAS,2021,0
MEXICO,2006,0
MEXICO,2012,0
MEXICO,2018,0
NICARAGUA,2006,0
NICARAGUA,2011,0
NICARAGUA,2016,0
NICARAGUA,2021,0
PANAMA,2004,0
PANAMA,2009,0
PANAMA,2014,0
PANAMA,2019,0
PARAGUAY,2008,0
PARAGUAY,2013,0
PARAGUAY,2018,0
PERU,2006,0
PERU,2011,0
PERU,2016,0
PERU,2021,0
REPÚBLICA DOMINICANA,2004,0
REPÚBLICA DOMINICANA,2008,0
REPÚBLICA DOMINICANA,2012,0
REPÚBLICA DOMINICANA,2016,0
REPÚBLICA DOMINICANA,2020,0
URUGUAY,2004,0
URUGUAY,2009,0
URUGUAY,2014,0
URUGUAY,2019,0
VENEZUELA,2006,0
VENEZUELA,2012,0
VENEZUELA,2013,0
VENEZUELA,2018,0
